"PRODUCT_SKU";"CAT_1";"CAT_2";"PICTURE_URL";"BRAND";"SHIPPED_ITEM";"SHIPPED_ITEM_BEF_REJECTION";"GRS_REVENUE_BEF_REJECTION";"GRS_REVENUE_BEF_CANCELLATION";"AVAIL_BY_SIZE";"PAGE_VIEWS";"VISITORS";"IMPRESSIONS";"CLICS";"STOCK";"AVAILABILITY";"CURRENT_SELLOUT_ITEMS";"BLACKPRICE";"DISCOUTPRICE";"GROSSTURNOVEER";"RANK"
"CA559AWLE576";"FOOTWEAR";"ANKLE BOOTS";"/C/A/CA559AWLE576_1.jpg";"Casadei";2;4;97462;2079680;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | Grand total:0";280;113;5806;107;0;0;0,25;64990;25990;0;1
"GI634AWIZ104";"FOOTWEAR";"ANKLE BOOTS";"/G/I/GI634AWIZ104_1.jpg";"Gianmarco Lorenzi";1;3;105779,875997724180492014694275805979202;1382504,49800601710731764533696527648527;"36:0 | 37:0 | 38:0 | 40:1 | 39:2 | Grand total:3";232;193;36881;169;3;0,4;0,5555555555555555555555555555555555555556;51490;30890;11,14285714285714285714285714285714285714;2
"SI293AWCQJ32";"FOOTWEAR";"ANKLE BOOTS";"/S/I/SI293AWCQJ32_1.jpg";"Sinta";2;7;20053,4720005995516263005084413099438232;1116764,50451342334838951685716817102615;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | 41:0 | Grand total:0";356;236;39749;258;0;0;0,9382716049382716049382716049382716049383;4990;2740;0;3
"VA468AWCMJ05";"FOOTWEAR";"ANKLE BOOTS";"/V/A/VA468AWCMJ05_1.jpg";"Vagabond";89;164;848566,9340120377760631000961327555498982;956921,1462150417759131786492358460805934;"36:0 | 37:0 | 40:0 | 38:1 | 39:1 | 41:1 | Grand total:3";8114;5710;394512;3758;3;0,5;0,787037037037037037037037037037037037037;5490;5490;48,45454545454545454545454545454545454549;4
"LA002AWBOE83";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOE83_1.jpg";"Lamania";229;281;370491,9081903900532296107303476141582621;945442,9214374881443144127118347899339393;"36:0 | 38:0 | 39:0 | 40:0 | 37:1 | Grand total:1";13826;10873;1282698;12349;1;0,2;0,6370023419203747072599531615925058548009;2490;1240;30,44166666666666666666666666666666666671;5
"GI634AWIZ105";"FOOTWEAR";"ANKLE BOOTS";"/G/I/GI634AWIZ105_1.jpg";"Gianmarco Lorenzi";2;2;54057;875330;"36:0 | 37:0 | 38:0 | 40:0 | 39:1 | Grand total:1";88;57;3101;23;1;0,2;0,6666666666666666666666666666666666666667;51490;30890;26;6
"LA002AWBOE48";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOE48_1.jpg";"Lamania";243;284;363951,437223416471587280252881958861512;870928,7146384543953439243214367977890955;"36:0 | 38:0 | 37:1 | 40:13 | 39:25 | Grand total:39";13294;10460;1367632;13376;39;0,6;0,5714285714285714285714285714285714285714;2490;1240;24,05211726384364820846905537459283387618;7
"SI293AWDBS01";"FOOTWEAR";"ANKLE BOOTS";"/S/I/SI293AWDBS01_1.jpg";"Sinta";6;8;19503,272499889456735003758471009872212;855882,5999748185803912285409171510301006;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | Grand total:0";482;360;51584;385;0;0;0,75;5190;3110;41,6;8
"CA559AWCCP38";"FOOTWEAR";"ANKLE BOOTS";"/C/A/CA559AWCCP38_1.jpg";"Casadei";3;3;111347;854810;"36:0 | 38:0 | 37:1 | 39:1 | 40:1 | Grand total:3";260;233;32486;168;3;0,6;0,5;44990;40490;13;9
"LA002AWCUV20";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWCUV20_1.jpg";"Lamania";131;217;746708,6655873033496014400775797819223114;821490,889537504647086706411230763268229;"35:0 | 39:0 | 38:2 | 36:17 | 37:30 | Grand total:49";7870;6080;400132;5438;49;0,6;0,6285714285714285714285714285714285714286;3490;3490;26,12037037037037037037037037037037037038;10
"LO019AWCSX16";"FOOTWEAR";"ANKLE BOOTS";"/L/O/LO019AWCSX16_sprite_v1.jpg";"LOST INK.";162;250;658191,1242621213091880569678816615051424;821327,4678075441334626628036469542728392;"36:0 | 40:0 | 37:21 | 38:54 | 39:90 | Grand total:165";9226;7237;409623;2456;165;0,6;0,4766536964980544747081712062256809338521;3490;3490;13,74207188160676532769556025369978858349;11
"LA002AWBMP61";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBMP61_1.jpg";"Lamania";160;204;355053,8725420865155318587518976405421975;729538,3002258656952313982325935999142247;"36:0 | 38:4 | 40:13 | 37:15 | 39:50 | Grand total:82";6628;4988;619127;4044;82;0,8;0,6022304832713754646840148698884758364312;2990;1940;17,39016393442622950819672131147540983604;12
"LA002AWCVU02";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWCVU02_1.jpg";"Lamania";222;325;632221,5311876773942206084851366280535129;716756,026835849711929483065991277345507;"35:0 | 39:2 | 38:24 | 36:25 | 37:49 | Grand total:100";9631;6762;789991;6143;100;0,8;0,4577464788732394366197183098591549295775;1990;1990;18,86160714285714285714285714285714285718;13
"GI634AWIZ100";"FOOTWEAR";"ANKLE BOOTS";"/G/I/GI634AWIZ100_1.jpg";"Gianmarco Lorenzi";1;1;26290;702240;"36:0 | 37:0 | 38:0 | 40:0 | 39:1 | Grand total:1";104;40;2241;15;1;0,2;0,25;43890;26290;26;14
"VA468AWCMI37";"FOOTWEAR";"ANKLE BOOTS";"/V/A/VA468AWCMI37_1.jpg";"Vagabond";57;106;602925,3120201844009329826310151275858619;684598,9212005460492774004763942941194857;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | 41:0 | Grand total:0";3714;2143;140920;1300;0;0;0,7619047619047619047619047619047619047619;5990;5990;46,71186440677966101694915254237288135593;15
"CA559AWLE570";"FOOTWEAR";"ANKLE BOOTS";"/C/A/CA559AWLE570_1.jpg";"Casadei";2;2;22946;654960;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | Grand total:0";115;53;1997;34;0;0;0,5;27290;16390;0;16
"LA002AWBOE67";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOE67_1.jpg";"Lamania";177;220;266135,7277467196152816354111809747292801;642485,0358648780851596177178452495837831;"36:0 | 38:0 | 40:0 | 39:6 | 37:26 | Grand total:32";8371;6728;966287;5749;32;0,4;0,6865671641791044776119402985074626865672;2490;1240;25,3097345132743362831858407079646017699;17
"GI634AWIZ099";"FOOTWEAR";"ANKLE BOOTS";"/G/I/GI634AWIZ099_1.jpg";"Gianmarco Lorenzi";2;2;41982;639840;"36:0 | 37:0 | 38:0 | 40:0 | 39:1 | Grand total:1";65;48;6896;40;1;0,2;0,7142857142857142857142857142857142857143;39990;23990;52;18
"LA002AWBOK53";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOK53_1.jpg";"Lamania";115;172;281542,0108465370151207529301369768998904;563288,5082132163769818725712404778096082;"36:0 | 40:5 | 37:9 | 38:13 | 39:34 | Grand total:61";3936;2951;614272;2113;61;0,8;0,5899053627760252365930599369085173501577;2990;1790;18,17886178861788617886178861788617886174;19
"LA002AWBOK43";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOK43_1.jpg";"Lamania";115;173;278024,9880406769493550939881885422887791;548245,3426110970723441740362238340269394;"36:0 | 37:0 | 38:0 | 39:0 | 40:2 | Grand total:2";9499;7831;833755;7136;2;0,2;0,8159392789373814041745730550284629981025;2790;1670;42,43396226415094339622641509433962264148;20
"LA002AWBOE64";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOE64_1.jpg";"Lamania";131;172;211421,1675236616585499777033959176709384;546381,8160196776604958184236415953474981;"40:1 | 38:15 | 36:18 | 39:25 | 37:37 | Grand total:96";4536;3242;797223;2810;96;1;0,474842767295597484276729559748427672956;2690;1340;14,37942122186495176848874598070739549833;21
